filename,paper_number,consensus_author,paper_group
federalist_49.pdf,49,madison,disputed
federalist_50.pdf,50,madison,disputed
federalist_51.pdf,51,madison,disputed
federalist_52.pdf,52,madison,disputed
federalist_53.pdf,53,madison,disputed
federalist_54.pdf,54,madison,disputed
federalist_55.pdf,55,madison,disputed
federalist_56.pdf,56,madison,disputed
federalist_57.pdf,57,madison,disputed
federalist_58.pdf,58,madison,disputed
federalist_62.html,62,madison,disputed
federalist_63.html,63,madison,disputed
federalist_01.html,1,hamilton,undisputed
federalist_02.docx,2,jay,undisputed
federalist_06.docx,6,hamilton,undisputed
federalist_09.docx,9,hamilton,undisputed
federalist_10.docx,10,madison,undisputed
federalist_14.docx,14,madison,undisputed
